# Stage-1 fork-fix shortlist — 252 rows (2026-08-14)
#
# GENERATED, then hand-filtered. Reproduce with:
#   scripts/fork-triage.sh e97087b main | grep -iE 'fix|bug|crash|correct|revert'
# (the script enumerates every commit in the e97087b...main compare; the grep is what cuts it to
# these 252). Columns, tab-separated: short sha, PR number (blank if the subject carries none),
# commit subject. Classification of these rows lives in fork-fix-ledger-2026-08.md; 35 are
# classified there and 217 remain deferred.
d0c0a81ec		Fix steps and branch names
d3346b5d1		Fix for workflow
d532e4c39	244	Merge pull request #244 from fallout2-ce/fix_uncompressed_database_seek
d53bda501		Fix github pages https://fallout2-ce.github.io/fallout2-ce/
d593c481f		Clang-format fix & proper variable name
d5b4486d6		Revert back to pipboy text
d5fd197dd	584	Fix OOM memory access with alternate damage calculation (#584)
d63f29329		fix typo
d9c24e1cc		fix special animation handling in opAnim, missign AnimationType usages
da3f1cc42		Fixes
db07e95f5		Use gCitiesLimitFix variable
db86e53af	473	Fix crash in opTokenize when prev is not null but not present in the source string (#473)
dd49ddb7c		Fixed clang-format complaint.
dfe7eeb3a	565	Merge pull request #565 from fallout2-ce/fix_use_after_free_in_use_item_on
dff752970		Full Transparency Fix
e0384a37b		Fix tileFromScreenXY signature cleanup
e05dacebc	64	Merge pull request #64 from roginvs/fix_ci_release_names
e1f5f83eb	369	Fix strange mouse behaviour in windowed mode when scale>=2 (#369)
e21b80cff	658	fixes memory leak of script lists during map transitions (#658)
e42b7ad2c		Fix flags
e638c4cf0		Fix dependency
e8d85dbdd	291	Revert to original behaviour in window.cc window existence checks (#291)
e90b68837	550	fix an opposite scroll direction in towns list (#550)
e9ee94a6d		-Wswitch fixes
ea6628755		Load gCitiesLimitFix state before it is used
eaa53b3e8	108	Merge pull request #108 from fallout2-ce/tmp_fix_web_ui_hash_until_fixed
eb9f745b7	21	Merge pull request #21 from roginvs/ci_fix_releases
ed23b0f50	310	Fix crash when trying to run missing combat_p_proc and start is not the first in the script (#310)
ef0914237		Revert "Use cache string force"
efd8a4a52	406	Fix last remaining warnings in MSVC (#406)
f0691d2c2		Fix for hooks
f17dd1911	341	Fix parameter order in metarules set_flags and set_outline. (#341)
f291f52a6	275	Merge pull request #275 from fallout2-ce/click_through_fix
f2b212770		fix processor name typo
f35d1efab		Revert "Set MSVC_RUNTIME_LIBRARY in the makefile"
f5507c8c5		Workflow permissions fix
f60b773ed	273	Merge pull request #273 from fallout2-ce/add_cities_limit_fix_fallout2-ce
f672ba4dd		Log GITHUB_OUTPUT for debugging
f76e310f1		Fix mapper compilation
f79cff356		Fixing clang-format
f7fdc4c9d		skilldexrc ios fix
fa6ae9847	633	Fix selected item highlight in character editor screen (#633)
fc8fe334f	647	Fix NPC reactions in "use best weapon" button (#647)
fdee9914e	541	Fix division by zero in objectExamineFunc (#541)
feb0cd61f	536	fix healing revision op_tokenize (#536)
fec5df898	511	Fix missing argument to format string (#511)
